Student,LPIPS,SSIM
112590017.png,0.19883215427398682,0.734341750227527
112590007.png,0.22574472427368164,0.6800735420039029
112590060.png,0.2352803498506546,0.7185335721077929
112590014.png,0.25036486983299255,0.6624095117812272
112590041.png,0.2517557144165039,0.7102153651179126
112590004.png,0.2523695230484009,0.6554076567007706
112590036.png,0.26037830114364624,0.6802857807061565
112590038.png,0.270185649394989,0.6934395988166754
112590044.png,0.27749955654144287,0.6405427748438198
112590022.png,0.2850584089756012,0.5958394638377442
110590456.png,0.28633570671081543,0.6262015853453106
109810011.png,0.3015684485435486,0.6589188491944235
112590023.png,0.30585503578186035,0.6502082225394938
112590012.png,0.31366515159606934,0.712066893816185
112590009.png,0.31755614280700684,0.5839309218964467
112590013.png,0.32088297605514526,0.6879953263970512
111332012.png,0.3230947256088257,0.6010107853900835
112590029.png,0.3280760943889618,0.6897802211880552
110590041.png,0.3323622941970825,0.6533564508501704
112590035.png,0.36059048771858215,0.5656324089382293
113378043.png,0.36225804686546326,0.580705505033892
112590057.png,0.3665865659713745,0.5331341847672818
112590026.png,0.3711290955543518,0.5923363802876643
112590003.png,0.3780302107334137,0.5191793940562295
112590030.png,0.3797144293785095,0.5559979208483745
112590033.png,0.3886467516422272,0.6539698661011982
112590020.png,0.39191892743110657,0.5660025239968439
112590021.png,0.3993684947490692,0.5174024736265873
112ab0053.png,0.41157153248786926,0.6374587274759419
111820017.jpg,0.41361019015312195,0.5740495049587606
112590005.png,0.414958119392395,0.5502949602140351
112590025.png,0.4473276138305664,0.4889570667527375
110820009.png,0.46926844120025635,0.5155247822227044
112590052.png,0.47006234526634216,0.42200276425278754
112590051.png,0.47012948989868164,0.4534554425999358
112590031.png,0.47850993275642395,0.44140752764313423
112590053.png,0.5306093692779541,0.4181146436448142
112590018.png,0.5331989526748657,0.38458547725360265
112590024.png,0.5356528759002686,0.41475706964757125
